安徽移动,#genre#
新疆卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/xjwssd4m/index.m3u8
兵团卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/btwssd4m/index.m3u8
黑龙江卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/hljwshd8m/index.m3u8
云南卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/ynwshd8m/index.m3u8
东南卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/dnwshd8m/index.m3u8
河南卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/hnwshd8m/index.m3u8
厦门卫视,http://120.210.193.151:8006/120000001002/XMTxmws/index.m3u8
三沙卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/sswshd8m/index.m3u8
内蒙古卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/nmgws2d5m/index.m3u8
金色学堂,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/jingsepd8m/index.m3u8
金鹰卡通,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/jykt/index.m3u8
动漫秀场,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/dmxc8m/index.m3u8
卡酷卡通,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/kkse8m/index.m3u8
哈哈炫动,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/hhxd8m/index.m3u8
嘉佳卡通,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/jjkt2d5m/index.m3u8
CHC家庭影院,http://120.210.193.151:8006/120000001002/XMTjtyy/1.m3u8
CHC动作电影,http://120.210.193.151:8006/120000001002/XMTdzdy/1.m3u8
CHC高清电影,http://120.210.193.151:8006/120000001002/XMTgqdy/1.m3u8
CETV1,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/zgjy1thd/index.m3u8
CETV2,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cetv2hd4mc/index.m3u8
CETV4,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/zgjy4hd8m/index.m3u8
梨园频道,http://120.210.193.151:8006/120000001002/XMTliyuan/1.m3u8
文物宝库,http://120.210.193.151:8006/120000001002/XMTwenwu/1.m3u8
武术世界,http://120.210.193.151:8006/120000001002/XMTwushu/1.m3u8
都市剧场,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/dsjc8m/index.m3u8
法治天地,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/fztd8m/index.m3u8
生活时尚,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/shss8m/index.m3u8
睛彩篮球,http://120.210.193.151:8006/000000001001/3000000020000011529/3000000020000011529.m3u8
睛彩竞技,http://120.210.193.151:8006/000000001001/3000000020000011528/3000000020000011528.m3u8
睛彩青少,http://120.210.193.151:8006/000000001001/3000000020000031315/3000000020000031315.m3u8
睛彩广场舞,http://221.181.100.64/gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=FifastbLive&Contentid=3000000020000011523&livemode=1&stbId=m
中国天气,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/zgqxhd4mc/index.m3u8
CCTV4K,http://120.210.193.151:8006/120000000058/G_CCTV-4K-HD/index.m3u8
